name,address,latitude,longitude
Rochester City Center,"Rochester, NY 14604",43.1566,-77.6088
490 Motel Inn,"360 Mount Read Boulevard, Rochester",43.1582671,-77.6586564
7 On Strath,"7 Strathallan Park, Rochester",43.1550355,-77.5893149
Abraham Lincoln Park Lodge,"500 Smith Road, Webster",43.1893278,-77.5160685
Adventure Bound Camping Resorts - Southwoods,"6749 Townline Road, Byron",43.0775055,-78.0356996
American Hotel Of Lima,"7304 East Main Street, Lima",42.9047889,-77.611557
Anderson Shelter,Churchville,43.109992,-77.8884649
Avon Inn,"55 East Main Street Unit 1, Avon",42.9111633,-77.7434616
Baymont by Wyndham Henrietta/Rochester,"905 Lehigh Station Road, Henrietta",43.0580134,-77.6503224
Baymont by Wyndham Henrietta/Rochester,"905 Lehigh Station Road, Henrietta",43.0580515,-77.6502509
Beautiful Valley Guesthouse,"68 Main Street, Scottsville",43.0198018,-77.7535008
Bed & Breakfast At The White,"854 White Road, Brockport",43.1770446,-77.9847388
Best Western Brockport Inn & Suites,"4908 Lake Road South, Brockport",43.1933227,-77.9422381
Best Western Plus Victor Inn & Suites,"7449 New York 96, Victor",43.0055757,-77.444373
Best Western Rochester Marketplace Inn,"940 Jefferson Road, Rochester",43.0876681,-77.6131725
Best Western The Inn at Rochester Airport,"395 Buell Road, Rochester",43.1316792,-77.6668811
Big Barefoot Mobile Home Community,"2666 Ellicott Road, Caledonia",42.9176551,-77.8868096
Big Guys Campground,"3739 County Line Road, Brockport",43.2380905,-77.99746
Bloomdale Mobile Home Park,"8199 NY-5 & US-20, Bloomfield",42.9085769,-77.5494689
Boardwalk Inn LLC,"48 Merchant Street, Brockport",43.2166667,-77.9394444
Boyce B&B,"268 Sibley Road, Honeoye Falls",42.9679055,-77.5932158
Braddock Bay Lodge,"199 East Manitou Road, Hilton",43.3042585,-77.7135552
Bristol Valley Mobile Home Park,"6923 U.S. Route 20A, Bloomfield",42.8296852,-77.410675
Budget Inn,"7340 Pittsford Palmyra Road, Fairport",43.065477,-77.412896
Burke Manufactured Homes Inc,"9237 New York 5, West Bloomfield",42.9069736,-77.5510792
Caledonia MHC,"3564 Iroquois Road, Caledonia",42.9751234,-77.8275121
Camp Cockbab,"88 Gilbert Street, Le Roy",42.9732653,-78.0030356
Camp Loon,"7790 Byron Holley Road Byron Byron, Byron",43.034869,-78.0658762
Canal Lamp Inn,"27 North Main Street, Pittsford",43.0922163,-77.5150835
Cedarwood Lodge Motel,"1890 Lakeville Road, Avon",42.9013928,-77.7082501
Clio Lodge No.779,"287 East Avenue, Hilton",43.2904221,-77.7839363
Cobblestone House,"Douglas Road, Pittsford",43.0327013,-77.5561876
Comfort Inn & Suites Rochester - Greece,"1501 West Ridge Road, Rochester",43.2048615,-77.6674153
Comfort Suites Rochester Henrietta University Area,"2085 Hylan Drive, Rochester",43.072509,-77.627354
Cook Properties,"90 Air Park Drive Suite 400, Rochester",43.1153019,-77.6606188
"Country Inn & Suites by Radisson, Rochester-Pittsford/Brighton, NY","2835 Monroe Avenue, Rochester",43.111291,-77.5491129
Countyline Mobile Home Park,"3910 County Line Road, Brockport",43.2335319,-77.9983291
